ASSERTION	AAEDAAECAQAAAAAAAECfQA==
ASSERTION	AAEDAAEBAQAAAAAAAIizQA==
ASSERTION	AAECAAIBAAAAAAAAAPA/
RUN	parabank.LoginTest	logintest	1759980590411	 	3.3.1
USER	Login Test - Carga Normal	1	START	1759980592415	1759980592415
USER	Login Test - Carga Pico	12	START	1759980592422	1759980592422
USER	Login Test - Carga Pico	13	START	1759980592513	1759980592513
USER	Login Test - Carga Pico	14	START	1759980592604	1759980592604
USER	Login Test - Carga Normal	2	START	1759980592630	1759980592630
USER	Login Test - Carga Pico	15	START	1759980592708	1759980592708
USER	Login Test - Carga Pico	16	START	1759980592804	1759980592804
USER	Login Test - Carga Normal	3	START	1759980592832	1759980592832
USER	Login Test - Carga Pico	17	START	1759980592909	1759980592909
USER	Login Test - Carga Pico	18	START	1759980593004	1759980593004
USER	Login Test - Carga Normal	4	START	1759980593031	1759980593031
REQUEST	1		Login Request	1759980592480	1759980593034	OK	 
REQUEST	12		Login Request	1759980592480	1759980593034	OK	 
REQUEST	13		Login Request	1759980592515	1759980593049	OK	 
USER	Login Test - Carga Pico	12	END	1759980592422	1759980593078
USER	Login Test - Carga Pico	13	END	1759980592513	1759980593078
USER	Login Test - Carga Normal	1	END	1759980592415	1759980593078
REQUEST	15		Login Request	1759980592709	1759980593096	OK	 
USER	Login Test - Carga Pico	15	END	1759980592708	1759980593097
USER	Login Test - Carga Pico	19	START	1759980593111	1759980593111
REQUEST	14		Login Request	1759980592605	1759980593155	OK	 
USER	Login Test - Carga Pico	14	END	1759980592604	1759980593156
REQUEST	2		Login Request	1759980592632	1759980593179	OK	 
USER	Login Test - Carga Normal	2	END	1759980592630	1759980593182
USER	Login Test - Carga Pico	20	START	1759980593204	1759980593204
USER	Login Test - Carga Normal	5	START	1759980593232	1759980593232
REQUEST	16		Login Request	1759980592805	1759980593287	OK	 
REQUEST	3		Login Request	1759980592834	1759980593287	OK	 
USER	Login Test - Carga Pico	16	END	1759980592804	1759980593288
USER	Login Test - Carga Normal	3	END	1759980592832	1759980593288
REQUEST	17		Login Request	1759980592910	1759980593300	OK	 
USER	Login Test - Carga Pico	17	END	1759980592909	1759980593303
USER	Login Test - Carga Pico	21	START	1759980593308	1759980593308
REQUEST	18		Login Request	1759980593005	1759980593343	OK	 
USER	Login Test - Carga Pico	18	END	1759980593004	1759980593344
REQUEST	4		Login Request	1759980593033	1759980593374	OK	 
USER	Login Test - Carga Normal	4	END	1759980593031	1759980593378
USER	Login Test - Carga Pico	22	START	1759980593404	1759980593404
REQUEST	19		Login Request	1759980593113	1759980593408	OK	 
USER	Login Test - Carga Pico	19	END	1759980593111	1759980593409
USER	Login Test - Carga Normal	6	START	1759980593432	1759980593432
USER	Login Test - Carga Pico	23	START	1759980593494	1759980593494
REQUEST	5		Login Request	1759980593233	1759980593530	OK	 
USER	Login Test - Carga Normal	5	END	1759980593232	1759980593532
REQUEST	20		Login Request	1759980593205	1759980593595	OK	 
