ASSERTION	AAEEAgAAAAAAAMBiQA==
ASSERTION	AAECAAMCAAAAAAAAwFdA
ASSERTION	AAECAAIBAAAAAAAAABRA
RUN	parabank.TransferTest	transfertest	1760280492913	 	3.3.1
REQUEST	14		Transferencia	1760280494564	1760280495155	OK	 
USER	Transferencias simultaneas válidas	14	END	1760280494562	1760280495156
REQUEST	11		Transferencia	1760280494563	1760280495156	OK	 
USER	Transferencias simultaneas válidas	11	END	1760280494562	1760280495157
REQUEST	16		Transferencia	1760280494585	1760280495162	OK	 
USER	Transferencias simultaneas válidas	16	END	1760280494584	1760280495162
REQUEST	22		Transferencia	1760280494682	1760280495168	OK	 
USER	Transferencias simultaneas válidas	22	END	1760280494680	1760280495169
USER	Transferencias simultaneas válidas	84	START	1760280495172	1760280495172
USER	Transferencias simultaneas válidas	85	START	1760280495172	1760280495172
USER	Transferencias simultaneas válidas	86	START	1760280495172	1760280495172
REQUEST	21		Transferencia	1760280494681	1760280495179	OK	 
USER	Transferencias simultaneas válidas	21	END	1760280494678	1760280495180
REQUEST	20		Transferencia	1760280494680	1760280495183	OK	 
USER	Transferencias simultaneas válidas	20	END	1760280494677	1760280495184
USER	Transferencias simultaneas válidas	90	START	1760280495187	1760280495187
USER	Transferencias simultaneas válidas	91	START	1760280495188	1760280495188
USER	Transferencias simultaneas válidas	87	START	1760280495187	1760280495187
USER	Transferencias simultaneas válidas	88	START	1760280495187	1760280495187
USER	Transferencias simultaneas válidas	89	START	1760280495187	1760280495187
USER	Transferencias simultaneas válidas	92	START	1760280495192	1760280495192
REQUEST	61		Transferencia	1760280494969	1760280495194	OK	 
USER	Transferencias simultaneas válidas	61	END	1760280494967	1760280495195
REQUEST	58		Transferencia	1760280494952	1760280495196	OK	 
USER	Transferencias simultaneas válidas	58	END	1760280494952	1760280495196
REQUEST	10		Transferencia	1760280494565	1760280495197	OK	 
USER	Transferencias simultaneas válidas	10	END	1760280494562	1760280495197
REQUEST	28		Transferencia	1760280494706	1760280495202	OK	 
USER	Transferencias simultaneas válidas	28	END	1760280494700	1760280495203
USER	Transferencias simultaneas válidas	93	START	1760280495203	1760280495203
REQUEST	27		Transferencia	1760280494702	1760280495214	OK	 
USER	Transferencias simultaneas válidas	27	END	1760280494700	1760280495215
USER	Transferencias simultaneas válidas	94	START	1760280495218	1760280495218
USER	Transferencias simultaneas válidas	95	START	1760280495218	1760280495218
REQUEST	33		Transferencia	1760280494753	1760280495221	OK	 
USER	Transferencias simultaneas válidas	33	END	1760280494752	1760280495221
USER	Transferencias simultaneas válidas	98	START	1760280495222	1760280495222
USER	Transferencias simultaneas válidas	96	START	1760280495222	1760280495222
USER	Transferencias simultaneas válidas	97	START	1760280495222	1760280495222
REQUEST	60		Transferencia	1760280494968	1760280495224	OK	 
USER	Transferencias simultaneas válidas	60	END	1760280494967	1760280495224
REQUEST	34		Transferencia	1760280494753	1760280495228	OK	 
REQUEST	32		Transferencia	1760280494733	1760280495228	OK	 
USER	Transferencias simultaneas válidas	34	END	1760280494752	1760280495229
USER	Transferencias simultaneas válidas	32	END	1760280494732	1760280495229
USER	Transferencias simultaneas válidas	99	START	1760280495233	1760280495233
REQUEST	67		Transferencia	1760280495003	1760280495234	OK	 
USER	Transferencias simultaneas válidas	67	END	1760280495002	1760280495235
REQUEST	6		Transferencia	1760280494555	1760280495238	OK	 
REQUEST	68		Transferencia	1760280495003	1760280495239	OK	 
USER	Transferencias simultaneas válidas	6	END	1760280494543	1760280495239
USER	Transferencias simultaneas válidas	68	END	1760280495002	1760280495240
REQUEST	30		Transferencia	1760280494733	1760280495242	OK	 
USER	Transferencias simultaneas válidas	30	END	1760280494732	1760280495243
