ASSERTION	AAEDAAECAQAAAAAAAHCnQA==
ASSERTION	AAEDAAEEAAAAAAAAwFdAAQAAAAAAAHCnQA==
ASSERTION	AAECAAIBAAAAAAAAAPA/
ASSERTION	AAEDAAEBAQAAAAAAAIizQA==
ASSERTION	AAECAAMCAAAAAAAAwFhA
RUN	parabank.AccountStatementsTest	accountstatementstest	1759981929683	 	3.3.1
USER	Account Statements Test - 200 Usuarios Simultáneos	34	START	1759981933908	1759981933908
REQUEST	32		Login Request	1759981933585	1759981933926	OK	 
REQUEST	18		Get Account Statement Request	1759981933788	1759981933952	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	18	END	1759981932283	1759981933953
REQUEST	27		Login Request	1759981933617	1759981933974	OK	 
REQUEST	6		Get Accounts Request	1759981933818	1759981933982	OK	 
USER	Account Statements Test - Carga Simultánea	29	START	1759981934016	1759981934016
REQUEST	33		Login Request	1759981933757	1759981934060	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	35	START	1759981934078	1759981934078
REQUEST	23		Get Accounts Request	1759981933955	1759981934106	OK	 
REQUEST	19		Get Account Statement Request	1759981933987	1759981934137	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	19	END	1759981932426	1759981934138
REQUEST	24		Get Accounts Request	1759981934001	1759981934146	OK	 
REQUEST	28		Login Request	1759981933818	1759981934172	OK	 
USER	Account Statements Test - Carga Simultánea	30	START	1759981934216	1759981934216
REQUEST	7		Get Accounts Request	1759981934064	1759981934221	OK	 
REQUEST	25		Get Accounts Request	1759981934094	1759981934223	OK	 
REQUEST	34		Login Request	1759981933909	1759981934246	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	36	START	1759981934247	1759981934247
REQUEST	20		Get Account Statement Request	1759981934124	1759981934280	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	20	END	1759981932566	1759981934282
REQUEST	29		Login Request	1759981934017	1759981934317	OK	 
REQUEST	21		Get Account Statement Request	1759981934217	1759981934360	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	21	END	1759981932706	1759981934361
REQUEST	2		Get Account Statement Request	1759981934233	1759981934363	OK	 
USER	Account Statements Test - Carga Simultánea	2	END	1759981931636	1759981934364
USER	Account Statements Test - Carga Simultánea	31	START	1759981934417	1759981934417
USER	Account Statements Test - 200 Usuarios Simultáneos	37	START	1759981934416	1759981934416
REQUEST	1		Get Account Statement Request	1759981934278	1759981934421	OK	 
USER	Account Statements Test - Carga Simultánea	1	END	1759981931444	1759981934423
REQUEST	26		Get Accounts Request	1759981934297	1759981934439	OK	 
REQUEST	35		Login Request	1759981934079	1759981934469	OK	 
REQUEST	22		Get Account Statement Request	1759981934355	1759981934493	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	22	END	1759981932855	1759981934495
REQUEST	9		Get Accounts Request	1759981934417	1759981934550	OK	 
REQUEST	30		Login Request	1759981934217	1759981934556	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	43	START	1759981934556	1759981934556
REQUEST	3		Get Account Statement Request	1759981934433	1759981934565	OK	 
USER	Account Statements Test - Carga Simultánea	3	END	1759981931836	1759981934566
REQUEST	8		Get Accounts Request	1759981934417	1759981934575	OK	 
REQUEST	36		Login Request	1759981934248	1759981934587	OK	 
REQUEST	32		Get Accounts Request	1759981934449	1759981934592	OK	 
USER	Account Statements Test - Carga Simultánea	38	START	1759981934617	1759981934617
USER	Account Statements Test - 200 Usuarios Simultáneos	44	START	1759981934696	1759981934696
REQUEST	33		Get Accounts Request	1759981934574	1759981934703	OK	 
REQUEST	31		Login Request	1759981934417	1759981934707	OK	 
REQUEST	10		Get Accounts Request	1759981934588	1759981934729	OK	 
REQUEST	37		Login Request	1759981934417	1759981934756	OK	 
REQUEST	23		Get Account Statement Request	1759981934603	1759981934759	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	23	END	1759981933043	1759981934760
REQUEST	24		Get Account Statement Request	1759981934637	1759981934777	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	24	END	1759981933136	1759981934778
REQUEST	4		Get Account Statement Request	1759981934665	1759981934801	OK	 
USER	Account Statements Test - Carga Simultánea	4	END	1759981932036	1759981934803
REQUEST	5		Get Account Statement Request	1759981934681	1759981934813	OK	 
USER	Account Statements Test - Carga Simultánea	5	END	1759981932236	1759981934814
USER	Account Statements Test - Carga Simultánea	39	START	1759981934819	1759981934819
USER	Account Statements Test - 200 Usuarios Simultáneos	45	START	1759981934836	1759981934836
REQUEST	25		Get Account Statement Request	1759981934728	1759981934861	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	25	END	1759981933276	1759981934863
REQUEST	43		Login Request	1759981934557	1759981934901	OK	 
REQUEST	34		Get Accounts Request	1759981934759	1759981934903	OK	 
REQUEST	38		Login Request	1759981934619	1759981934945	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	46	START	1759981934989	1759981934989
USER	Account Statements Test - Carga Simultánea	40	START	1759981935021	1759981935021
REQUEST	11		Get Accounts Request	1759981934867	1759981935024	OK	 
REQUEST	26		Get Account Statement Request	1759981934946	1759981935089	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	26	END	1759981933428	1759981935091
REQUEST	6		Get Account Statement Request	1759981934974	1759981935118	OK	 
USER	Account Statements Test - Carga Simultánea	6	END	1759981932440	1759981935119
USER	Account Statements Test - 200 Usuarios Simultáneos	47	START	1759981935131	1759981935131
REQUEST	27		Get Accounts Request	1759981934989	1759981935133	OK	 
REQUEST	35		Get Accounts Request	1759981934989	1759981935142	OK	 
REQUEST	39		Login Request	1759981934820	1759981935206	OK	 
REQUEST	45		Login Request	1759981934838	1759981935211	OK	 
USER	Account Statements Test - Carga Simultánea	41	START	1759981935224	1759981935224
REQUEST	32		Get Account Statement Request	1759981935087	1759981935227	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	32	END	1759981933584	1759981935229
REQUEST	44		Login Request	1759981934697	1759981935246	OK	 
REQUEST	36		Get Accounts Request	1759981935116	1759981935255	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	48	START	1759981935272	1759981935272
REQUEST	28		Get Accounts Request	1759981935194	1759981935338	OK	 
REQUEST	33		Get Account Statement Request	1759981935210	1759981935341	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	33	END	1759981933755	1759981935342
REQUEST	40		Login Request	1759981935022	1759981935359	OK	 
REQUEST	46		Login Request	1759981934989	1759981935377	OK	 
REQUEST	7		Get Account Statement Request	1759981935225	1759981935382	OK	 
USER	Account Statements Test - Carga Simultánea	7	END	1759981932643	1759981935383
REQUEST	37		Get Accounts Request	1759981935273	1759981935412	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	49	START	1759981935425	1759981935425
USER	Account Statements Test - Carga Simultánea	42	START	1759981935425	1759981935425
REQUEST	47		Login Request	1759981935133	1759981935425	OK	 
REQUEST	29		Get Accounts Request	1759981935334	1759981935464	OK	 
REQUEST	34		Get Account Statement Request	1759981935411	1759981935552	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	34	END	1759981933908	1759981935553
REQUEST	48		Login Request	1759981935273	1759981935562	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	55	START	1759981935566	1759981935566
REQUEST	43		Get Accounts Request	1759981935426	1759981935567	OK	 
REQUEST	41		Login Request	1759981935225	1759981935617	OK	 
USER	Account Statements Test - Carga Simultánea	50	START	1759981935628	1759981935628
REQUEST	9		Get Account Statement Request	1759981935549	1759981935683	OK	 
USER	Account Statements Test - Carga Simultánea	9	END	1759981933049	1759981935684
USER	Account Statements Test - 200 Usuarios Simultáneos	56	START	1759981935706	1759981935706
REQUEST	8		Get Account Statement Request	1759981935567	1759981935720	OK	 
USER	Account Statements Test - Carga Simultánea	8	END	1759981932840	1759981935721
REQUEST	30		Get Accounts Request	1759981935582	1759981935728	OK	 
