ASSERTION	AAEDAAECAQAAAAAAAHCnQA==
ASSERTION	AAEDAAEEAAAAAAAAwFdAAQAAAAAAAHCnQA==
ASSERTION	AAECAAIBAAAAAAAAAPA/
ASSERTION	AAEDAAEBAQAAAAAAAIizQA==
ASSERTION	AAECAAMCAAAAAAAAwFhA
RUN	parabank.AccountStatementsTest	accountstatementstest	1759981929683	 	3.3.1
REQUEST	375		Get Accounts Request	1759981958326	1759981958457	OK	 
REQUEST	356		Get Account Statement Request	1759981958326	1759981958468	OK	 
USER	Account Statements Test - Carga Simultánea	356	END	1759981955824	1759981958468
USER	Account Statements Test - Carga Simultánea	403	START	1759981958526	1759981958526
REQUEST	376		Get Accounts Request	1759981958418	1759981958547	OK	 
REQUEST	401		Login Request	1759981958266	1759981958553	OK	 
REQUEST	394		Login Request	1759981958233	1759981958564	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	413	START	1759981958573	1759981958573
REQUEST	397		Get Accounts Request	1759981958449	1759981958587	OK	 
USER	Account Statements Test - Carga Simultánea	404	START	1759981958635	1759981958635
REQUEST	383		Get Account Statement Request	1759981958511	1759981958656	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	383	END	1759981957000	1759981958656
REQUEST	357		Get Account Statement Request	1759981958496	1759981958657	OK	 
USER	Account Statements Test - Carga Simultánea	357	END	1759981955917	1759981958657
REQUEST	358		Get Account Statement Request	1759981958526	1759981958664	OK	 
USER	Account Statements Test - Carga Simultánea	358	END	1759981956024	1759981958665
REQUEST	395		Login Request	1759981958326	1759981958699	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	414	START	1759981958711	1759981958711
REQUEST	402		Login Request	1759981958434	1759981958726	OK	 
USER	Account Statements Test - Carga Simultánea	405	START	1759981958727	1759981958727
REQUEST	393		Login Request	1759981958126	1759981958769	OK	 
REQUEST	396		Login Request	1759981958434	1759981958776	OK	 
REQUEST	377		Get Accounts Request	1759981958619	1759981958776	OK	 
REQUEST	360		Get Account Statement Request	1759981958666	1759981958793	OK	 
USER	Account Statements Test - Carga Simultánea	360	END	1759981956224	1759981958794
REQUEST	398		Get Accounts Request	1759981958666	1759981958815	OK	 
USER	Account Statements Test - Carga Simultánea	406	START	1759981958836	1759981958836
REQUEST	359		Get Account Statement Request	1759981958686	1759981958841	OK	 
USER	Account Statements Test - Carga Simultánea	359	END	1759981956117	1759981958841
REQUEST	403		Login Request	1759981958527	1759981958855	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	415	START	1759981958856	1759981958856
REQUEST	378		Get Accounts Request	1759981958728	1759981958879	OK	 
REQUEST	384		Get Account Statement Request	1759981958728	1759981958880	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	384	END	1759981957153	1759981958880
REQUEST	413		Login Request	1759981958574	1759981958898	OK	 
USER	Account Statements Test - Carga Simultánea	407	START	1759981958926	1759981958926
REQUEST	404		Login Request	1759981958636	1759981958929	OK	 
REQUEST	379		Get Accounts Request	1759981958790	1759981958936	OK	 
REQUEST	361		Get Account Statement Request	1759981958821	1759981958965	OK	 
USER	Account Statements Test - Carga Simultánea	361	END	1759981956316	1759981958965
REQUEST	362		Get Account Statement Request	1759981958856	1759981958987	OK	 
USER	Account Statements Test - Carga Simultánea	362	END	1759981956425	1759981958988
REQUEST	399		Get Accounts Request	1759981958837	1759981958989	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	416	START	1759981959002	1759981959002
REQUEST	400		Get Accounts Request	1759981958896	1759981959027	OK	 
REQUEST	387		Get Accounts Request	1759981958886	1759981959030	OK	 
USER	Account Statements Test - Carga Simultánea	408	START	1759981959032	1759981959032
REQUEST	385		Get Account Statement Request	1759981958881	1759981959038	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	385	END	1759981957291	1759981959039
REQUEST	386		Get Account Statement Request	1759981958927	1759981959073	OK	 
REQUEST	405		Login Request	1759981958728	1759981959073	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	386	END	1759981957430	1759981959074
REQUEST	414		Login Request	1759981958712	1759981959105	OK	 
USER	Account Statements Test - Carga Simultánea	409	START	1759981959126	1759981959126
REQUEST	388		Get Accounts Request	1759981958988	1759981959133	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	417	START	1759981959138	1759981959138
REQUEST	406		Login Request	1759981958837	1759981959162	OK	 
REQUEST	415		Login Request	1759981958856	1759981959193	OK	 
REQUEST	401		Get Accounts Request	1759981959066	1759981959195	OK	 
USER	Account Statements Test - Carga Simultánea	410	START	1759981959232	1759981959232
REQUEST	389		Get Accounts Request	1759981959094	1759981959237	OK	 
REQUEST	397		Get Account Statement Request	1759981959094	1759981959239	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	397	END	1759981957599	1759981959239
REQUEST	370		Get Account Statement Request	1759981959094	1759981959247	OK	 
USER	Account Statements Test - Carga Simultánea	370	END	1759981956533	1759981959248
REQUEST	371		Get Account Statement Request	1759981959123	1759981959264	OK	 
USER	Account Statements Test - Carga Simultánea	371	END	1759981956627	1759981959265
USER	Account Statements Test - 200 Usuarios Simultáneos	418	START	1759981959293	1759981959293
REQUEST	372		Get Account Statement Request	1759981959185	1759981959320	OK	 
USER	Account Statements Test - Carga Simultánea	372	END	1759981956736	1759981959320
USER	Account Statements Test - Carga Simultánea	411	START	1759981959326	1759981959326
REQUEST	390		Get Accounts Request	1759981959186	1759981959332	OK	 
REQUEST	402		Get Accounts Request	1759981959236	1759981959365	OK	 
REQUEST	416		Login Request	1759981959003	1759981959387	OK	 
REQUEST	408		Login Request	1759981959033	1759981959410	OK	 
USER	Account Statements Test - Carga Simultánea	412	START	1759981959431	1759981959431
USER	Account Statements Test - 200 Usuarios Simultáneos	419	START	1759981959431	1759981959431
REQUEST	409		Login Request	1759981959126	1759981959465	OK	 
REQUEST	417		Login Request	1759981959139	1759981959475	OK	 
REQUEST	398		Get Account Statement Request	1759981959325	1759981959482	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	398	END	1759981957769	1759981959483
REQUEST	391		Get Accounts Request	1759981959326	1759981959485	OK	 
REQUEST	373		Get Account Statement Request	1759981959371	1759981959524	OK	 
USER	Account Statements Test - Carga Simultánea	373	END	1759981956827	1759981959525
USER	Account Statements Test - Carga Simultánea	420	START	1759981959526	1759981959526
REQUEST	410		Login Request	1759981959232	1759981959540	OK	 
REQUEST	413		Get Accounts Request	1759981959417	1759981959557	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	430	START	1759981959569	1759981959569
REQUEST	374		Get Account Statement Request	1759981959448	1759981959593	OK	 
USER	Account Statements Test - Carga Simultánea	374	END	1759981956936	1759981959594
REQUEST	392		Get Accounts Request	1759981959436	1759981959596	OK	 
REQUEST	375		Get Account Statement Request	1759981959466	1759981959600	OK	 
USER	Account Statements Test - Carga Simultánea	375	END	1759981957030	1759981959601
REQUEST	411		Login Request	1759981959326	1759981959622	OK	 
REQUEST	407		Login Request	1759981958927	1759981959624	OK	 
USER	Account Statements Test - Carga Simultánea	421	START	1759981959629	1759981959629
REQUEST	418		Login Request	1759981959294	1759981959634	OK	 
REQUEST	399		Get Account Statement Request	1759981959492	1759981959646	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	399	END	1759981957926	1759981959646
REQUEST	400		Get Account Statement Request	1759981959526	1759981959658	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	400	END	1759981958096	1759981959659
REQUEST	376		Get Account Statement Request	1759981959569	1759981959701	OK	 
USER	Account Statements Test - Carga Simultánea	376	END	1759981957126	1759981959701
USER	Account Statements Test - 200 Usuarios Simultáneos	431	START	1759981959721	1759981959721
USER	Account Statements Test - Carga Simultánea	422	START	1759981959726	1759981959726
REQUEST	394		Get Accounts Request	1759981959585	1759981959729	OK	 
REQUEST	412		Login Request	1759981959431	1759981959765	OK	 
REQUEST	414		Get Accounts Request	1759981959616	1759981959771	OK	 
USER	Account Statements Test - Carga Simultánea	423	START	1759981959827	1759981959827
REQUEST	401		Get Account Statement Request	1759981959706	1759981959835	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	401	END	1759981958266	1759981959836
REQUEST	415		Get Accounts Request	1759981959706	1759981959845	OK	 
REQUEST	420		Login Request	1759981959526	1759981959857	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	432	START	1759981959860	1759981959860
REQUEST	395		Get Accounts Request	1759981959721	1759981959876	OK	 
REQUEST	430		Login Request	1759981959569	1759981959910	OK	 
REQUEST	393		Get Accounts Request	1759981959781	1759981959924	OK	 
REQUEST	396		Get Accounts Request	1759981959796	1759981959934	OK	 
USER	Account Statements Test - Carga Simultánea	424	START	1759981959935	1759981959935
REQUEST	421		Login Request	1759981959630	1759981959937	OK	 
REQUEST	377		Get Account Statement Request	1759981959786	1759981959939	OK	 
USER	Account Statements Test - Carga Simultánea	377	END	1759981957231	1759981959939
USER	Account Statements Test - 200 Usuarios Simultáneos	433	START	1759981959997	1759981959997
REQUEST	402		Get Account Statement Request	1759981959875	1759981960013	OK	 
REQUEST	422		Login Request	1759981959726	1759981960013	OK	 
REQUEST	403		Get Accounts Request	1759981959860	1759981960013	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	402	END	1759981958433	1759981960014
USER	Account Statements Test - Carga Simultánea	425	START	1759981960028	1759981960028
REQUEST	378		Get Account Statement Request	1759981959876	1759981960030	OK	 
USER	Account Statements Test - Carga Simultánea	378	END	1759981957326	1759981960031
REQUEST	416		Get Accounts Request	1759981959906	1759981960059	OK	 
REQUEST	431		Login Request	1759981959721	1759981960061	OK	 
REQUEST	379		Get Account Statement Request	1759981959936	1759981960084	OK	 
REQUEST	404		Get Accounts Request	1759981959950	1759981960084	OK	 
USER	Account Statements Test - Carga Simultánea	379	END	1759981957430	1759981960085
REQUEST	423		Login Request	1759981959828	1759981960118	OK	 
REQUEST	419		Login Request	1759981959431	1759981960121	OK	 
REQUEST	417		Get Accounts Request	1759981959986	1759981960127	OK	 
USER	Account Statements Test - Carga Simultánea	426	START	1759981960136	1759981960136
USER	Account Statements Test - 200 Usuarios Simultáneos	434	START	1759981960137	1759981960137
REQUEST	387		Get Account Statement Request	1759981960029	1759981960181	OK	 
USER	Account Statements Test - Carga Simultánea	387	END	1759981957526	1759981960181
REQUEST	413		Get Account Statement Request	1759981960059	1759981960203	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	413	END	1759981958573	1759981960204
USER	Account Statements Test - Carga Simultánea	427	START	1759981960228	1759981960228
REQUEST	405		Get Accounts Request	1759981960090	1759981960230	OK	 
REQUEST	432		Login Request	1759981959860	1759981960245	OK	 
REQUEST	424		Login Request	1759981959936	1759981960278	OK	 
REQUEST	388		Get Account Statement Request	1759981960137	1759981960279	OK	 
USER	Account Statements Test - Carga Simultánea	388	END	1759981957630	1759981960280
USER	Account Statements Test - 200 Usuarios Simultáneos	435	START	1759981960290	1759981960290
REQUEST	418		Get Accounts Request	1759981960151	1759981960293	OK	 
REQUEST	433		Login Request	1759981959998	1759981960297	OK	 
REQUEST	406		Get Accounts Request	1759981960182	1759981960327	OK	 
USER	Account Statements Test - Carga Simultánea	428	START	1759981960336	1759981960336
REQUEST	389		Get Account Statement Request	1759981960243	1759981960381	OK	 
REQUEST	425		Login Request	1759981960029	1759981960382	OK	 
USER	Account Statements Test - Carga Simultánea	389	END	1759981957726	1759981960382
USER	Account Statements Test - Carga Simultánea	429	START	1759981960429	1759981960429
USER	Account Statements Test - 200 Usuarios Simultáneos	436	START	1759981960429	1759981960429
REQUEST	414		Get Account Statement Request	1759981960276	1759981960430	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	414	END	1759981958711	1759981960431
REQUEST	426		Login Request	1759981960137	1759981960432	OK	 
REQUEST	434		Login Request	1759981960137	1759981960434	OK	 
REQUEST	415		Get Account Statement Request	1759981960337	1759981960477	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	415	END	1759981958856	1759981960477
REQUEST	390		Get Account Statement Request	1759981960352	1759981960495	OK	 
USER	Account Statements Test - Carga Simultánea	390	END	1759981957831	1759981960496
USER	Account Statements Test - Carga Simultánea	437	START	1759981960536	1759981960536
REQUEST	430		Get Accounts Request	1759981960429	1759981960577	OK	 
REQUEST	408		Get Accounts Request	1759981960429	1759981960591	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	447	START	1759981960599	1759981960599
REQUEST	427		Login Request	1759981960229	1759981960608	OK	 
REQUEST	409		Get Accounts Request	1759981960475	1759981960618	OK	 
USER	Account Statements Test - Carga Simultánea	438	START	1759981960630	1759981960630
REQUEST	391		Get Account Statement Request	1759981960491	1759981960645	OK	 
USER	Account Statements Test - Carga Simultánea	391	END	1759981957926	1759981960645
REQUEST	435		Login Request	1759981960291	1759981960679	OK	 
REQUEST	428		Login Request	1759981960337	1759981960682	OK	 
REQUEST	410		Get Accounts Request	1759981960556	1759981960685	OK	 
REQUEST	416		Get Account Statement Request	1759981960556	1759981960713	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	416	END	1759981959002	1759981960714
REQUEST	431		Get Accounts Request	1759981960583	1759981960722	OK	 
USER	Account Statements Test - Carga Simultánea	439	START	1759981960726	1759981960726
REQUEST	392		Get Account Statement Request	1759981960599	1759981960761	OK	 
REQUEST	436		Login Request	1759981960429	1759981960761	OK	 
USER	Account Statements Test - Carga Simultánea	392	END	1759981958031	1759981960762
REQUEST	429		Login Request	1759981960429	1759981960768	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	448	START	1759981960768	1759981960768
REQUEST	411		Get Accounts Request	1759981960645	1759981960777	OK	 
REQUEST	417		Get Account Statement Request	1759981960645	1759981960787	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	417	END	1759981959138	1759981960787
REQUEST	407		Get Accounts Request	1759981960645	1759981960799	OK	 
REQUEST	419		Get Accounts Request	1759981960646	1759981960799	OK	 
USER	Account Statements Test - Carga Simultánea	440	START	1759981960829	1759981960829
REQUEST	437		Login Request	1759981960536	1759981960865	OK	 
REQUEST	394		Get Account Statement Request	1759981960738	1759981960879	OK	 
USER	Account Statements Test - Carga Simultánea	394	END	1759981958232	1759981960879
REQUEST	432		Get Accounts Request	1759981960752	1759981960904	OK	 
REQUEST	412		Get Accounts Request	1759981960784	1759981960929	OK	 
REQUEST	447		Login Request	1759981960599	1759981960932	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	449	START	1759981960936	1759981960936
USER	Account Statements Test - Carga Simultánea	441	START	1759981960936	1759981960936
REQUEST	418		Get Account Statement Request	1759981960798	1759981960942	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	418	END	1759981959293	1759981960942
REQUEST	433		Get Accounts Request	1759981960814	1759981960945	OK	 
REQUEST	438		Login Request	1759981960630	1759981960960	OK	 
REQUEST	420		Get Accounts Request	1759981960875	1759981961017	OK	 
REQUEST	439		Login Request	1759981960726	1759981961022	OK	 
USER	Account Statements Test - Carga Simultánea	442	START	1759981961028	1759981961028
REQUEST	395		Get Account Statement Request	1759981960876	1759981961035	OK	 
USER	Account Statements Test - Carga Simultánea	395	END	1759981958326	1759981961036
REQUEST	396		Get Account Statement Request	1759981960920	1759981961062	OK	 
USER	Account Statements Test - Carga Simultánea	396	END	1759981958433	1759981961063
REQUEST	393		Get Account Statement Request	1759981960936	1759981961081	OK	 
USER	Account Statements Test - Carga Simultánea	393	END	1759981958126	1759981961082
REQUEST	434		Get Accounts Request	1759981960952	1759981961084	OK	 
REQUEST	421		Get Accounts Request	1759981960956	1759981961091	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	450	START	1759981961105	1759981961105
USER	Account Statements Test - Carga Simultánea	443	START	1759981961136	1759981961136
REQUEST	448		Login Request	1759981960768	1759981961144	OK	 
REQUEST	422		Get Accounts Request	1759981961016	1759981961147	OK	 
REQUEST	403		Get Account Statement Request	1759981961016	1759981961162	OK	 
USER	Account Statements Test - Carga Simultánea	403	END	1759981958526	1759981961163
REQUEST	440		Login Request	1759981960829	1759981961169	OK	 
REQUEST	404		Get Account Statement Request	1759981961076	1759981961205	OK	 
USER	Account Statements Test - Carga Simultánea	404	END	1759981958635	1759981961206
REQUEST	430		Get Account Statement Request	1759981961076	1759981961214	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	430	END	1759981959569	1759981961215
USER	Account Statements Test - Carga Simultánea	444	START	1759981961229	1759981961229
REQUEST	449		Login Request	1759981960936	1759981961266	OK	 
REQUEST	423		Get Accounts Request	1759981961136	1759981961271	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	451	START	1759981961275	1759981961275
REQUEST	441		Login Request	1759981960936	1759981961318	OK	 
USER	Account Statements Test - Carga Simultánea	445	START	1759981961335	1759981961335
REQUEST	435		Get Accounts Request	1759981961197	1759981961347	OK	 
REQUEST	431		Get Account Statement Request	1759981961214	1759981961358	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	431	END	1759981959721	1759981961358
REQUEST	405		Get Account Statement Request	1759981961245	1759981961390	OK	 
USER	Account Statements Test - Carga Simultánea	405	END	1759981958727	1759981961391
REQUEST	450		Login Request	1759981961106	1759981961397	OK	 
REQUEST	442		Login Request	1759981961028	1759981961407	OK	 
REQUEST	436		Get Accounts Request	1759981961276	1759981961419	OK	 
USER	Account Statements Test - Carga Simultánea	446	START	1759981961426	1759981961426
USER	Account Statements Test - 200 Usuarios Simultáneos	452	START	1759981961427	1759981961427
REQUEST	424		Get Accounts Request	1759981961305	1759981961450	OK	 
REQUEST	419		Get Account Statement Request	1759981961305	1759981961462	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	419	END	1759981959431	1759981961462
REQUEST	443		Login Request	1759981961137	1759981961475	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	463	START	1759981961476	1759981961476
REQUEST	406		Get Account Statement Request	1759981961336	1759981961479	OK	 
USER	Account Statements Test - Carga Simultánea	406	END	1759981958836	1759981961480
USER	Account Statements Test - Carga Simultánea	453	START	1759981961535	1759981961535
USER	Account Statements Test - 200 Usuarios Simultáneos	464	START	1759981961535	1759981961535
REQUEST	425		Get Accounts Request	1759981961397	1759981961540	OK	 
REQUEST	432		Get Account Statement Request	1759981961411	1759981961561	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	432	END	1759981959860	1759981961562
REQUEST	433		Get Account Statement Request	1759981961446	1759981961577	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	433	END	1759981959997	1759981961577
REQUEST	426		Get Accounts Request	1759981961446	1759981961577	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	465	START	1759981961581	1759981961581
REQUEST	447		Get Accounts Request	1759981961442	1759981961583	OK	 
REQUEST	451		Login Request	1759981961276	1759981961602	OK	 
REQUEST	444		Login Request	1759981961229	1759981961612	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	466	START	1759981961627	1759981961627
USER	Account Statements Test - Carga Simultánea	454	START	1759981961627	1759981961627
USER	Account Statements Test - 200 Usuarios Simultáneos	467	START	1759981961676	1759981961676
REQUEST	434		Get Account Statement Request	1759981961586	1759981961715	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	434	END	1759981960137	1759981961715
REQUEST	445		Login Request	1759981961336	1759981961722	OK	 
USER	Account Statements Test - Carga Simultánea	455	START	1759981961735	1759981961735
USER	Account Statements Test - 200 Usuarios Simultáneos	468	START	1759981961735	1759981961735
REQUEST	408		Get Account Statement Request	1759981961597	1759981961757	OK	 
USER	Account Statements Test - Carga Simultánea	408	END	1759981959032	1759981961758
REQUEST	452		Login Request	1759981961427	1759981961765	OK	 
REQUEST	446		Login Request	1759981961427	1759981961765	OK	 
REQUEST	427		Get Accounts Request	1759981961616	1759981961771	OK	 
REQUEST	409		Get Account Statement Request	1759981961628	1759981961771	OK	 
USER	Account Statements Test - Carga Simultánea	409	END	1759981959126	1759981961772
USER	Account Statements Test - 200 Usuarios Simultáneos	469	START	1759981961781	1759981961781
REQUEST	448		Get Accounts Request	1759981961658	1759981961811	OK	 
REQUEST	410		Get Account Statement Request	1759981961690	1759981961819	OK	 
USER	Account Statements Test - Carga Simultánea	410	END	1759981959232	1759981961820
USER	Account Statements Test - Carga Simultánea	456	START	1759981961827	1759981961827
USER	Account Statements Test - 200 Usuarios Simultáneos	470	START	1759981961827	1759981961827
REQUEST	428		Get Accounts Request	1759981961705	1759981961852	OK	 
REQUEST	463		Login Request	1759981961476	1759981961866	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	471	START	1759981961876	1759981961876
REQUEST	465		Login Request	1759981961582	1759981961877	OK	 
REQUEST	411		Get Account Statement Request	1759981961766	1759981961897	OK	 
USER	Account Statements Test - Carga Simultánea	411	END	1759981959326	1759981961898
REQUEST	464		Login Request	1759981961536	1759981961915	OK	 
REQUEST	453		Login Request	1759981961536	1759981961917	OK	 
REQUEST	466		Login Request	1759981961628	1759981961922	OK	 
REQUEST	449		Get Accounts Request	1759981961782	1759981961922	OK	 
REQUEST	429		Get Accounts Request	1759981961786	1759981961929	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	472	START	1759981961935	1759981961935
USER	Account Statements Test - Carga Simultánea	457	START	1759981961935	1759981961935
REQUEST	407		Get Account Statement Request	1759981961797	1759981961955	OK	 
USER	Account Statements Test - Carga Simultánea	407	END	1759981958926	1759981961956
REQUEST	454		Login Request	1759981961628	1759981961958	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	473	START	1759981961982	1759981961982
REQUEST	435		Get Account Statement Request	1759981961846	1759981961999	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	435	END	1759981960290	1759981962000
REQUEST	437		Get Accounts Request	1759981961876	1759981962025	OK	 
REQUEST	468		Login Request	1759981961736	1759981962027	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	474	START	1759981962029	1759981962029
USER	Account Statements Test - Carga Simultánea	458	START	1759981962029	1759981962029
REQUEST	450		Get Accounts Request	1759981961921	1759981962055	OK	 
REQUEST	467		Login Request	1759981961676	1759981962059	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	475	START	1759981962076	1759981962076
REQUEST	412		Get Account Statement Request	1759981961935	1759981962079	OK	 
REQUEST	436		Get Account Statement Request	1759981961935	1759981962079	OK	 
USER	Account Statements Test - Carga Simultánea	412	END	1759981959431	1759981962080
USER	Account Statements Test - 200 Usuarios Simultáneos	436	END	1759981960429	1759981962080
REQUEST	455		Login Request	1759981961736	1759981962081	OK	 
REQUEST	469		Login Request	1759981961782	1759981962119	OK	 
REQUEST	456		Login Request	1759981961828	1759981962119	OK	 
REQUEST	438		Get Accounts Request	1759981961982	1759981962126	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	476	START	1759981962126	1759981962126
USER	Account Statements Test - Carga Simultánea	459	START	1759981962126	1759981962126
REQUEST	471		Login Request	1759981961876	1759981962165	OK	 
REQUEST	470		Login Request	1759981961828	1759981962172	OK	 
REQUEST	420		Get Account Statement Request	1759981962029	1759981962175	OK	 
USER	Account Statements Test - Carga Simultánea	420	END	1759981959526	1759981962175
REQUEST	439		Get Accounts Request	1759981962044	1759981962177	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	477	START	1759981962183	1759981962183
USER	Account Statements Test - Carga Simultánea	460	START	1759981962230	1759981962230
USER	Account Statements Test - 200 Usuarios Simultáneos	478	START	1759981962230	1759981962230
REQUEST	421		Get Account Statement Request	1759981962096	1759981962232	OK	 
REQUEST	447		Get Account Statement Request	1759981962092	1759981962232	OK	 
USER	Account Statements Test - Carga Simultánea	421	END	1759981959629	1759981962233
USER	Account Statements Test - 200 Usuarios Simultáneos	447	END	1759981960599	1759981962233
REQUEST	451		Get Accounts Request	1759981962122	1759981962267	OK	 
REQUEST	472		Login Request	1759981961936	1759981962270	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	479	START	1759981962276	1759981962276
REQUEST	422		Get Account Statement Request	1759981962156	1759981962284	OK	 
USER	Account Statements Test - Carga Simultánea	422	END	1759981959726	1759981962284
REQUEST	457		Login Request	1759981961936	1759981962327	OK	 
REQUEST	440		Get Accounts Request	1759981962186	1759981962335	OK	 
USER	Account Statements Test - Carga Simultánea	461	START	1759981962335	1759981962335
USER	Account Statements Test - 200 Usuarios Simultáneos	480	START	1759981962335	1759981962335
REQUEST	473		Login Request	1759981961982	1759981962362	OK	 
REQUEST	474		Login Request	1759981962029	1759981962364	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	481	START	1759981962381	1759981962381
REQUEST	423		Get Account Statement Request	1759981962276	1759981962409	OK	 
USER	Account Statements Test - Carga Simultánea	423	END	1759981959827	1759981962409
REQUEST	458		Login Request	1759981962029	1759981962419	OK	 
REQUEST	452		Get Accounts Request	1759981962276	1759981962419	OK	 
REQUEST	476		Login Request	1759981962126	1759981962426	OK	 
USER	Account Statements Test - Carga Simultánea	462	START	1759981962426	1759981962426
USER	Account Statements Test - 200 Usuarios Simultáneos	482	START	1759981962426	1759981962426
REQUEST	475		Login Request	1759981962077	1759981962455	OK	 
REQUEST	448		Get Account Statement Request	1759981962306	1759981962457	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	448	END	1759981960768	1759981962458
REQUEST	459		Login Request	1759981962126	1759981962469	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	493	START	1759981962476	1759981962476
REQUEST	477		Login Request	1759981962184	1759981962482	OK	 
REQUEST	441		Get Accounts Request	1759981962336	1759981962495	OK	 
USER	Account Statements Test - Carga Simultánea	483	START	1759981962534	1759981962534
REQUEST	463		Get Accounts Request	1759981962382	1759981962535	OK	 
REQUEST	465		Get Accounts Request	1759981962397	1759981962534	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	494	START	1759981962534	1759981962534
REQUEST	460		Login Request	1759981962230	1759981962560	OK	 
REQUEST	478		Login Request	1759981962230	1759981962569	OK	 
REQUEST	479		Login Request	1759981962277	1759981962569	OK	 
REQUEST	442		Get Accounts Request	1759981962416	1759981962571	OK	 
REQUEST	466		Get Accounts Request	1759981962446	1759981962578	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	495	START	1759981962579	1759981962579
REQUEST	464		Get Accounts Request	1759981962427	1759981962581	OK	 
REQUEST	449		Get Account Statement Request	1759981962442	1759981962587	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	449	END	1759981960936	1759981962588
REQUEST	424		Get Account Statement Request	1759981962446	1759981962589	OK	 
USER	Account Statements Test - Carga Simultánea	424	END	1759981959935	1759981962590
REQUEST	443		Get Accounts Request	1759981962476	1759981962621	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	496	START	1759981962626	1759981962626
USER	Account Statements Test - Carga Simultánea	484	START	1759981962626	1759981962626
REQUEST	468		Get Accounts Request	1759981962536	1759981962668	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	497	START	1759981962676	1759981962676
REQUEST	461		Login Request	1759981962336	1759981962678	OK	 
REQUEST	450		Get Account Statement Request	1759981962548	1759981962681	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	450	END	1759981961105	1759981962682
REQUEST	425		Get Account Statement Request	1759981962548	1759981962688	OK	 
USER	Account Statements Test - Carga Simultánea	425	END	1759981960028	1759981962689
REQUEST	426		Get Account Statement Request	1759981962580	1759981962714	OK	 
USER	Account Statements Test - Carga Simultánea	426	END	1759981960136	1759981962714
REQUEST	481		Login Request	1759981962382	1759981962718	OK	 
REQUEST	480		Login Request	1759981962336	1759981962722	OK	 
REQUEST	467		Get Accounts Request	1759981962566	1759981962723	OK	 
USER	Account Statements Test - Carga Simultánea	485	START	1759981962734	1759981962734
USER	Account Statements Test - 200 Usuarios Simultáneos	498	START	1759981962734	1759981962734
