ASSERTION	AAEDAAECAQAAAAAAAECfQA==
ASSERTION	AAEDAAEBAQAAAAAAAIizQA==
ASSERTION	AAECAAIBAAAAAAAAAPA/
RUN	parabank.LoginTest	logintest	1759980374664	 	3.3.1
REQUEST	134		Login Request	1759980384417	1759980384743	OK	 
USER	Login Test - Carga Normal	134	END	1759980384416	1759980384744
USER	Login Test - Carga Pico	161	START	1759980384774	1759980384774
USER	Login Test - Carga Normal	151	START	1759980384785	1759980384785
REQUEST	149		Login Request	1759980384542	1759980384826	OK	 
USER	Login Test - Carga Normal	149	END	1759980384541	1759980384828
USER	Login Test - Carga Pico	162	START	1759980384846	1759980384846
REQUEST	157		Login Request	1759980384485	1759980384861	OK	 
USER	Login Test - Carga Pico	157	END	1759980384484	1759980384862
REQUEST	158		Login Request	1759980384558	1759980384896	OK	 
USER	Login Test - Carga Pico	158	END	1759980384556	1759980384897
USER	Login Test - Carga Pico	163	START	1759980384924	1759980384924
USER	Login Test - Carga Normal	152	START	1759980384924	1759980384924
REQUEST	159		Login Request	1759980384632	1759980384966	OK	 
USER	Login Test - Carga Pico	159	END	1759980384631	1759980384967
USER	Login Test - Carga Pico	164	START	1759980384986	1759980384986
REQUEST	150		Login Request	1759980384665	1759980385007	OK	 
USER	Login Test - Carga Normal	150	END	1759980384664	1759980385008
USER	Login Test - Carga Normal	153	START	1759980385034	1759980385034
REQUEST	160		Login Request	1759980384695	1759980385036	OK	 
USER	Login Test - Carga Pico	160	END	1759980384694	1759980385037
REQUEST	161		Login Request	1759980384775	1759980385062	OK	 
USER	Login Test - Carga Pico	161	END	1759980384774	1759980385063
USER	Login Test - Carga Pico	165	START	1759980385065	1759980385065
REQUEST	151		Login Request	1759980384786	1759980385080	OK	 
USER	Login Test - Carga Normal	151	END	1759980384785	1759980385082
USER	Login Test - Carga Pico	166	START	1759980385126	1759980385126
USER	Login Test - Carga Normal	154	START	1759980385173	1759980385173
REQUEST	162		Login Request	1759980384847	1759980385182	OK	 
USER	Login Test - Carga Pico	162	END	1759980384846	1759980385183
USER	Login Test - Carga Pico	167	START	1759980385204	1759980385204
REQUEST	163		Login Request	1759980384925	1759980385262	OK	 
USER	Login Test - Carga Pico	163	END	1759980384924	1759980385263
REQUEST	152		Login Request	1759980384926	1759980385282	OK	 
USER	Login Test - Carga Pico	168	START	1759980385281	1759980385281
USER	Login Test - Carga Normal	152	END	1759980384924	1759980385283
USER	Login Test - Carga Normal	155	START	1759980385284	1759980385284
USER	Login Test - Carga Pico	169	START	1759980385345	1759980385345
REQUEST	164		Login Request	1759980384987	1759980385374	OK	 
USER	Login Test - Carga Pico	164	END	1759980384986	1759980385375
REQUEST	153		Login Request	1759980385035	1759980385375	OK	 
USER	Login Test - Carga Normal	153	END	1759980385034	1759980385377
REQUEST	165		Login Request	1759980385066	1759980385412	OK	 
USER	Login Test - Carga Pico	165	END	1759980385065	1759980385413
USER	Login Test - Carga Normal	156	START	1759980385418	1759980385418
USER	Login Test - Carga Pico	170	START	1759980385418	1759980385418
USER	Login Test - Carga Pico	179	START	1759980385479	1759980385479
REQUEST	166		Login Request	1759980385127	1759980385509	OK	 
USER	Login Test - Carga Pico	166	END	1759980385126	1759980385510
REQUEST	154		Login Request	1759980385174	1759980385523	OK	 
USER	Login Test - Carga Normal	154	END	1759980385173	1759980385524
REQUEST	167		Login Request	1759980385205	1759980385539	OK	 
USER	Login Test - Carga Pico	167	END	1759980385204	1759980385539
USER	Login Test - Carga Normal	171	START	1759980385542	1759980385542
USER	Login Test - Carga Pico	180	START	1759980385544	1759980385544
REQUEST	110		Login Request	1759980382845	1759980385593	OK	 
USER	Login Test - Carga Normal	110	END	1759980382844	1759980385594
REQUEST	155		Login Request	1759980385285	1759980385613	OK	 
USER	Login Test - Carga Normal	155	END	1759980385284	1759980385614
USER	Login Test - Carga Pico	181	START	1759980385618	1759980385618
USER	Login Test - Carga Normal	172	START	1759980385664	1759980385664
REQUEST	168		Login Request	1759980385282	1759980385674	OK	 
USER	Login Test - Carga Pico	168	END	1759980385281	1759980385675
REQUEST	169		Login Request	1759980385346	1759980385677	OK	 
USER	Login Test - Carga Pico	169	END	1759980385345	1759980385678
USER	Login Test - Carga Pico	182	START	1759980385679	1759980385679
REQUEST	156		Login Request	1759980385419	1759980385704	OK	 
USER	Login Test - Carga Normal	156	END	1759980385418	1759980385706
USER	Login Test - Carga Pico	183	START	1759980385744	1759980385744
USER	Login Test - Carga Normal	173	START	1759980385786	1759980385786
REQUEST	123		Login Request	1759980383105	1759980385787	OK	 
USER	Login Test - Carga Pico	123	END	1759980383104	1759980385789
REQUEST	170		Login Request	1759980385419	1759980385803	OK	 
USER	Login Test - Carga Pico	170	END	1759980385418	1759980385804
USER	Login Test - Carga Pico	184	START	1759980385816	1759980385816
REQUEST	179		Login Request	1759980385480	1759980385822	OK	 
USER	Login Test - Carga Pico	179	END	1759980385479	1759980385823
USER	Login Test - Carga Pico	185	START	1759980385879	1759980385879
REQUEST	180		Login Request	1759980385545	1759980385885	OK	 
USER	Login Test - Carga Pico	180	END	1759980385544	1759980385886
REQUEST	171		Login Request	1759980385543	1759980385896	OK	 
USER	Login Test - Carga Normal	171	END	1759980385542	1759980385897
USER	Login Test - Carga Normal	174	START	1759980385914	1759980385914
USER	Login Test - Carga Pico	186	START	1759980385944	1759980385944
REQUEST	181		Login Request	1759980385619	1759980385955	OK	 
USER	Login Test - Carga Pico	181	END	1759980385618	1759980385956
REQUEST	182		Login Request	1759980385680	1759980385978	OK	 
USER	Login Test - Carga Pico	182	END	1759980385679	1759980385979
REQUEST	172		Login Request	1759980385665	1759980386019	OK	 
USER	Login Test - Carga Pico	187	START	1759980386019	1759980386019
USER	Login Test - Carga Normal	172	END	1759980385664	1759980386021
USER	Login Test - Carga Normal	175	START	1759980386035	1759980386035
USER	Login Test - Carga Pico	188	START	1759980386079	1759980386079
REQUEST	183		Login Request	1759980385745	1759980386141	OK	 
USER	Login Test - Carga Pico	183	END	1759980385744	1759980386143
USER	Login Test - Carga Pico	189	START	1759980386144	1759980386144
USER	Login Test - Carga Normal	176	START	1759980386173	1759980386173
REQUEST	173		Login Request	1759980385787	1759980386188	OK	 
USER	Login Test - Carga Normal	173	END	1759980385786	1759980386189
REQUEST	184		Login Request	1759980385817	1759980386202	OK	 
USER	Login Test - Carga Pico	184	END	1759980385816	1759980386204
USER	Login Test - Carga Pico	190	START	1759980386218	1759980386218
REQUEST	185		Login Request	1759980385880	1759980386220	OK	 
USER	Login Test - Carga Pico	185	END	1759980385879	1759980386221
REQUEST	174		Login Request	1759980385915	1759980386257	OK	 
USER	Login Test - Carga Normal	174	END	1759980385914	1759980386258
USER	Login Test - Carga Pico	191	START	1759980386281	1759980386281
USER	Login Test - Carga Normal	177	START	1759980386284	1759980386284
REQUEST	187		Login Request	1759980386020	1759980386313	OK	 
USER	Login Test - Carga Pico	187	END	1759980386019	1759980386314
REQUEST	186		Login Request	1759980385945	1759980386345	OK	 
USER	Login Test - Carga Pico	186	END	1759980385944	1759980386346
USER	Login Test - Carga Pico	192	START	1759980386373	1759980386373
REQUEST	188		Login Request	1759980386080	1759980386412	OK	 
USER	Login Test - Carga Pico	188	END	1759980386079	1759980386413
REQUEST	175		Login Request	1759980386036	1759980386418	OK	 
USER	Login Test - Carga Normal	175	END	1759980386035	1759980386419
USER	Login Test - Carga Normal	178	START	1759980386420	1759980386420
USER	Login Test - Carga Pico	193	START	1759980386435	1759980386435
REQUEST	189		Login Request	1759980386145	1759980386439	OK	 
USER	Login Test - Carga Pico	189	END	1759980386144	1759980386441
REQUEST	176		Login Request	1759980386174	1759980386478	OK	 
USER	Login Test - Carga Normal	176	END	1759980386173	1759980386479
USER	Login Test - Carga Pico	203	START	1759980386496	1759980386496
REQUEST	190		Login Request	1759980386219	1759980386509	OK	 
USER	Login Test - Carga Pico	190	END	1759980386218	1759980386510
USER	Login Test - Carga Normal	194	START	1759980386544	1759980386544
USER	Login Test - Carga Pico	204	START	1759980386572	1759980386572
REQUEST	177		Login Request	1759980386285	1759980386591	OK	 
USER	Login Test - Carga Normal	177	END	1759980386284	1759980386592
USER	Login Test - Carga Pico	205	START	1759980386634	1759980386634
REQUEST	191		Login Request	1759980386282	1759980386664	OK	 
REQUEST	192		Login Request	1759980386374	1759980386666	OK	 
USER	Login Test - Carga Pico	191	END	1759980386281	1759980386666
USER	Login Test - Carga Normal	195	START	1759980386665	1759980386665
USER	Login Test - Carga Pico	192	END	1759980386373	1759980386667
USER	Login Test - Carga Pico	206	START	1759980386695	1759980386695
REQUEST	178		Login Request	1759980386421	1759980386715	OK	 
USER	Login Test - Carga Normal	178	END	1759980386420	1759980386716
REQUEST	193		Login Request	1759980386437	1759980386771	OK	 
USER	Login Test - Carga Pico	193	END	1759980386435	1759980386772
USER	Login Test - Carga Pico	207	START	1759980386772	1759980386772
USER	Login Test - Carga Normal	196	START	1759980386772	1759980386772
REQUEST	203		Login Request	1759980386497	1759980386793	OK	 
USER	Login Test - Carga Pico	203	END	1759980386496	1759980386794
USER	Login Test - Carga Pico	208	START	1759980386834	1759980386834
USER	Login Test - Carga Normal	197	START	1759980386880	1759980386880
USER	Login Test - Carga Pico	209	START	1759980386896	1759980386896
REQUEST	204		Login Request	1759980386573	1759980386908	OK	 
USER	Login Test - Carga Pico	204	END	1759980386572	1759980386909
USER	Login Test - Carga Pico	210	START	1759980386973	1759980386973
REQUEST	205		Login Request	1759980386635	1759980386976	OK	 
USER	Login Test - Carga Pico	205	END	1759980386634	1759980386977
USER	Login Test - Carga Normal	198	START	1759980386988	1759980386988
USER	Login Test - Carga Pico	211	START	1759980387035	1759980387035
REQUEST	195		Login Request	1759980386666	1759980387049	OK	 
USER	Login Test - Carga Normal	195	END	1759980386665	1759980387050
REQUEST	194		Login Request	1759980386545	1759980387058	OK	 
USER	Login Test - Carga Normal	194	END	1759980386544	1759980387059
USER	Login Test - Carga Normal	199	START	1759980387096	1759980387096
USER	Login Test - Carga Pico	212	START	1759980387096	1759980387096
REQUEST	196		Login Request	1759980386773	1759980387101	OK	 
USER	Login Test - Carga Normal	196	END	1759980386772	1759980387102
REQUEST	207		Login Request	1759980386773	1759980387107	OK	 
USER	Login Test - Carga Pico	207	END	1759980386772	1759980387108
REQUEST	208		Login Request	1759980386836	1759980387121	OK	 
USER	Login Test - Carga Pico	208	END	1759980386834	1759980387122
REQUEST	197		Login Request	1759980386882	1759980387162	OK	 
USER	Login Test - Carga Normal	197	END	1759980386880	1759980387163
USER	Login Test - Carga Pico	213	START	1759980387173	1759980387173
USER	Login Test - Carga Normal	200	START	1759980387204	1759980387204
USER	Login Test - Carga Pico	214	START	1759980387234	1759980387234
REQUEST	209		Login Request	1759980386897	1759980387237	OK	 
USER	Login Test - Carga Pico	209	END	1759980386896	1759980387238
USER	Login Test - Carga Pico	215	START	1759980387294	1759980387294
REQUEST	198		Login Request	1759980386989	1759980387325	OK	 
USER	Login Test - Carga Normal	198	END	1759980386988	1759980387325
USER	Login Test - Carga Normal	201	START	1759980387325	1759980387325
REQUEST	210		Login Request	1759980386975	1759980387360	OK	 
USER	Login Test - Carga Pico	210	END	1759980386973	1759980387361
USER	Login Test - Carga Pico	216	START	1759980387370	1759980387370
REQUEST	211		Login Request	1759980387036	1759980387372	OK	 
USER	Login Test - Carga Pico	211	END	1759980387035	1759980387373
REQUEST	206		Login Request	1759980386696	1759980387385	OK	 
USER	Login Test - Carga Pico	206	END	1759980386695	1759980387386
USER	Login Test - Carga Normal	202	START	1759980387434	1759980387434
USER	Login Test - Carga Pico	217	START	1759980387434	1759980387434
REQUEST	212		Login Request	1759980387097	1759980387467	OK	 
USER	Login Test - Carga Pico	212	END	1759980387096	1759980387468
REQUEST	199		Login Request	1759980387097	1759980387488	OK	 
USER	Login Test - Carga Normal	199	END	1759980387096	1759980387489
USER	Login Test - Carga Pico	227	START	1759980387494	1759980387494
REQUEST	200		Login Request	1759980387205	1759980387497	OK	 
USER	Login Test - Carga Normal	200	END	1759980387204	1759980387498
REQUEST	213		Login Request	1759980387174	1759980387509	OK	 
USER	Login Test - Carga Pico	213	END	1759980387173	1759980387511
USER	Login Test - Carga Normal	218	START	1759980387544	1759980387544
USER	Login Test - Carga Pico	228	START	1759980387557	1759980387557
REQUEST	214		Login Request	1759980387235	1759980387575	OK	 
USER	Login Test - Carga Pico	214	END	1759980387234	1759980387575
REQUEST	215		Login Request	1759980387295	1759980387577	OK	 
USER	Login Test - Carga Pico	215	END	1759980387294	1759980387578
USER	Login Test - Carga Pico	229	START	1759980387619	1759980387619
USER	Login Test - Carga Normal	219	START	1759980387654	1759980387654
REQUEST	201		Login Request	1759980387326	1759980387677	OK	 
USER	Login Test - Carga Normal	201	END	1759980387325	1759980387678
USER	Login Test - Carga Pico	230	START	1759980387682	1759980387682
REQUEST	216		Login Request	1759980387371	1759980387701	OK	 
USER	Login Test - Carga Pico	216	END	1759980387370	1759980387702
REQUEST	202		Login Request	1759980387435	1759980387730	OK	 
USER	Login Test - Carga Normal	202	END	1759980387434	1759980387731
USER	Login Test - Carga Pico	231	START	1759980387744	1759980387744
REQUEST	217		Login Request	1759980387435	1759980387767	OK	 
USER	Login Test - Carga Pico	217	END	1759980387434	1759980387768
USER	Login Test - Carga Normal	220	START	1759980387775	1759980387775
REQUEST	227		Login Request	1759980387495	1759980387792	OK	 
USER	Login Test - Carga Pico	227	END	1759980387494	1759980387792
USER	Login Test - Carga Pico	232	START	1759980387806	1759980387806
USER	Login Test - Carga Pico	233	START	1759980387867	1759980387867
USER	Login Test - Carga Normal	221	START	1759980387883	1759980387883
REQUEST	229		Login Request	1759980387620	1759980387912	OK	 
USER	Login Test - Carga Pico	229	END	1759980387619	1759980387912
REQUEST	218		Login Request	1759980387545	1759980387925	OK	 
USER	Login Test - Carga Normal	218	END	1759980387544	1759980387926
USER	Login Test - Carga Pico	234	START	1759980387927	1759980387927
REQUEST	228		Login Request	1759980387558	1759980387940	OK	 
USER	Login Test - Carga Pico	228	END	1759980387557	1759980387941
REQUEST	219		Login Request	1759980387655	1759980387988	OK	 
USER	Login Test - Carga Normal	219	END	1759980387654	1759980387990
USER	Login Test - Carga Normal	222	START	1759980387989	1759980387989
USER	Login Test - Carga Pico	235	START	1759980388004	1759980388004
REQUEST	230		Login Request	1759980387683	1759980388026	OK	 
USER	Login Test - Carga Pico	230	END	1759980387682	1759980388027
USER	Login Test - Carga Pico	236	START	1759980388054	1759980388054
REQUEST	220		Login Request	1759980387775	1759980388066	OK	 
USER	Login Test - Carga Normal	220	END	1759980387775	1759980388067
REQUEST	231		Login Request	1759980387745	1759980388085	OK	 
USER	Login Test - Carga Pico	231	END	1759980387744	1759980388086
USER	Login Test - Carga Normal	223	START	1759980388097	1759980388097
USER	Login Test - Carga Pico	237	START	1759980388114	1759980388114
REQUEST	232		Login Request	1759980387807	1759980388148	OK	 
USER	Login Test - Carga Pico	232	END	1759980387806	1759980388148
USER	Login Test - Carga Pico	238	START	1759980388174	1759980388174
REQUEST	233		Login Request	1759980387868	1759980388202	OK	 
USER	Login Test - Carga Pico	233	END	1759980387867	1759980388202
USER	Login Test - Carga Normal	224	START	1759980388205	1759980388205
REQUEST	221		Login Request	1759980387883	1759980388208	OK	 
USER	Login Test - Carga Normal	221	END	1759980387883	1759980388209
USER	Login Test - Carga Pico	239	START	1759980388251	1759980388251
USER	Login Test - Carga Normal	225	START	1759980388314	1759980388314
USER	Login Test - Carga Pico	240	START	1759980388314	1759980388314
REQUEST	235		Login Request	1759980388005	1759980388333	OK	 
USER	Login Test - Carga Pico	235	END	1759980388004	1759980388334
REQUEST	222		Login Request	1759980387990	1759980388335	OK	 
USER	Login Test - Carga Normal	222	END	1759980387989	1759980388336
REQUEST	236		Login Request	1759980388055	1759980388346	OK	 
USER	Login Test - Carga Pico	236	END	1759980388054	1759980388347
USER	Login Test - Carga Pico	241	START	1759980388364	1759980388364
REQUEST	237		Login Request	1759980388115	1759980388405	OK	 
USER	Login Test - Carga Pico	237	END	1759980388114	1759980388406
REQUEST	234		Login Request	1759980387928	1759980388422	OK	 
USER	Login Test - Carga Pico	234	END	1759980387927	1759980388424
USER	Login Test - Carga Normal	226	START	1759980388424	1759980388424
USER	Login Test - Carga Pico	242	START	1759980388424	1759980388424
REQUEST	223		Login Request	1759980388098	1759980388436	OK	 
USER	Login Test - Carga Normal	223	END	1759980388097	1759980388436
USER	Login Test - Carga Pico	252	START	1759980388501	1759980388501
USER	Login Test - Carga Normal	243	START	1759980388534	1759980388534
REQUEST	239		Login Request	1759980388252	1759980388548	OK	 
USER	Login Test - Carga Pico	239	END	1759980388251	1759980388548
USER	Login Test - Carga Pico	253	START	1759980388562	1759980388562
REQUEST	238		Login Request	1759980388175	1759980388571	OK	 
USER	Login Test - Carga Pico	238	END	1759980388174	1759980388572
REQUEST	224		Login Request	1759980388206	1759980388585	OK	 
USER	Login Test - Carga Normal	224	END	1759980388205	1759980388586
USER	Login Test - Carga Pico	254	START	1759980388624	1759980388624
USER	Login Test - Carga Normal	244	START	1759980388655	1759980388655
REQUEST	241		Login Request	1759980388365	1759980388669	OK	 
USER	Login Test - Carga Pico	241	END	1759980388364	1759980388669
USER	Login Test - Carga Pico	255	START	1759980388674	1759980388674
REQUEST	225		Login Request	1759980388315	1759980388707	OK	 
USER	Login Test - Carga Normal	225	END	1759980388314	1759980388708
USER	Login Test - Carga Pico	256	START	1759980388747	1759980388747
USER	Login Test - Carga Normal	245	START	1759980388764	1759980388764
USER	Login Test - Carga Pico	257	START	1759980388810	1759980388810
REQUEST	242		Login Request	1759980388425	1759980388820	OK	 
REQUEST	243		Login Request	1759980388535	1759980388820	OK	 
USER	Login Test - Carga Pico	242	END	1759980388424	1759980388821
USER	Login Test - Carga Normal	243	END	1759980388534	1759980388821
REQUEST	226		Login Request	1759980388425	1759980388821	OK	 
USER	Login Test - Carga Normal	226	END	1759980388424	1759980388822
REQUEST	252		Login Request	1759980388502	1759980388837	OK	 
USER	Login Test - Carga Pico	252	END	1759980388501	1759980388838
USER	Login Test - Carga Pico	258	START	1759980388869	1759980388869
USER	Login Test - Carga Normal	246	START	1759980388874	1759980388874
REQUEST	253		Login Request	1759980388563	1759980388902	OK	 
USER	Login Test - Carga Pico	253	END	1759980388562	1759980388903
REQUEST	254		Login Request	1759980388626	1759980388916	OK	 
USER	Login Test - Carga Pico	254	END	1759980388624	1759980388917
USER	Login Test - Carga Pico	259	START	1759980388930	1759980388930
REQUEST	240		Login Request	1759980388315	1759980388967	OK	 
USER	Login Test - Carga Pico	240	END	1759980388314	1759980388968
USER	Login Test - Carga Normal	247	START	1759980388992	1759980388992
USER	Login Test - Carga Pico	260	START	1759980388994	1759980388994
USER	Login Test - Carga Pico	261	START	1759980389054	1759980389054
REQUEST	244		Login Request	1759980388656	1759980389093	OK	 
REQUEST	255		Login Request	1759980388675	1759980389093	OK	 
USER	Login Test - Carga Pico	255	END	1759980388674	1759980389094
USER	Login Test - Carga Normal	244	END	1759980388655	1759980389094
USER	Login Test - Carga Normal	248	START	1759980389099	1759980389099
REQUEST	245		Login Request	1759980388765	1759980389113	OK	 
USER	Login Test - Carga Normal	245	END	1759980388764	1759980389114
USER	Login Test - Carga Pico	262	START	1759980389114	1759980389114
REQUEST	256		Login Request	1759980388749	1759980389171	OK	 
REQUEST	258		Login Request	1759980388871	1759980389171	OK	 
USER	Login Test - Carga Pico	256	END	1759980388747	1759980389172
USER	Login Test - Carga Pico	258	END	1759980388869	1759980389172
USER	Login Test - Carga Pico	263	START	1759980389176	1759980389176
USER	Login Test - Carga Normal	249	START	1759980389208	1759980389208
REQUEST	246		Login Request	1759980388875	1759980389216	OK	 
REQUEST	257		Login Request	1759980388811	1759980389216	OK	 
USER	Login Test - Carga Normal	246	END	1759980388874	1759980389217
USER	Login Test - Carga Pico	257	END	1759980388810	1759980389217
USER	Login Test - Carga Pico	264	START	1759980389254	1759980389254
REQUEST	259		Login Request	1759980388931	1759980389273	OK	 
USER	Login Test - Carga Pico	259	END	1759980388930	1759980389275
USER	Login Test - Carga Pico	265	START	1759980389304	1759980389304
USER	Login Test - Carga Normal	250	START	1759980389315	1759980389315
REQUEST	247		Login Request	1759980388994	1759980389332	OK	 
USER	Login Test - Carga Normal	247	END	1759980388992	1759980389333
USER	Login Test - Carga Pico	266	START	1759980389364	1759980389364
REQUEST	260		Login Request	1759980388995	1759980389382	OK	 
USER	Login Test - Carga Pico	260	END	1759980388994	1759980389383
USER	Login Test - Carga Pico	267	START	1759980389424	1759980389424
USER	Login Test - Carga Normal	251	START	1759980389424	1759980389424
REQUEST	248		Login Request	1759980389100	1759980389439	OK	 
USER	Login Test - Carga Normal	248	END	1759980389099	1759980389440
REQUEST	261		Login Request	1759980389055	1759980389446	OK	 
USER	Login Test - Carga Pico	261	END	1759980389054	1759980389447
REQUEST	262		Login Request	1759980389115	1759980389463	OK	 
USER	Login Test - Carga Pico	262	END	1759980389114	1759980389464
USER	Login Test - Carga Pico	277	START	1759980389484	1759980389484
REQUEST	263		Login Request	1759980389177	1759980389519	OK	 
USER	Login Test - Carga Pico	263	END	1759980389176	1759980389521
USER	Login Test - Carga Normal	268	START	1759980389544	1759980389544
USER	Login Test - Carga Pico	278	START	1759980389544	1759980389544
REQUEST	264		Login Request	1759980389256	1759980389546	OK	 
USER	Login Test - Carga Pico	264	END	1759980389254	1759980389547
REQUEST	249		Login Request	1759980389209	1759980389549	OK	 
USER	Login Test - Carga Normal	249	END	1759980389208	1759980389549
REQUEST	265		Login Request	1759980389305	1759980389599	OK	 
USER	Login Test - Carga Pico	265	END	1759980389304	1759980389599
USER	Login Test - Carga Pico	279	START	1759980389604	1759980389604
USER	Login Test - Carga Normal	269	START	1759980389654	1759980389654
USER	Login Test - Carga Pico	280	START	1759980389679	1759980389679
REQUEST	250		Login Request	1759980389316	1759980389690	OK	 
USER	Login Test - Carga Normal	250	END	1759980389315	1759980389691
REQUEST	251		Login Request	1759980389425	1759980389715	OK	 
USER	Login Test - Carga Normal	251	END	1759980389424	1759980389716
USER	Login Test - Carga Pico	281	START	1759980389725	1759980389725
USER	Login Test - Carga Normal	270	START	1759980389772	1759980389772
USER	Login Test - Carga Pico	282	START	1759980389787	1759980389787
REQUEST	267		Login Request	1759980389425	1759980389798	OK	 
USER	Login Test - Carga Pico	267	END	1759980389424	1759980389799
USER	Login Test - Carga Pico	283	START	1759980389834	1759980389834
REQUEST	277		Login Request	1759980389485	1759980389867	OK	 
USER	Login Test - Carga Pico	277	END	1759980389484	1759980389868
REQUEST	278		Login Request	1759980389545	1759980389870	OK	 
USER	Login Test - Carga Pico	278	END	1759980389544	1759980389870
USER	Login Test - Carga Normal	271	START	1759980389879	1759980389879
USER	Login Test - Carga Pico	284	START	1759980389894	1759980389894
REQUEST	268		Login Request	1759980389545	1759980389922	OK	 
USER	Login Test - Carga Normal	268	END	1759980389544	1759980389923
REQUEST	279		Login Request	1759980389605	1759980389940	OK	 
USER	Login Test - Carga Pico	279	END	1759980389604	1759980389941
USER	Login Test - Carga Pico	285	START	1759980389955	1759980389955
USER	Login Test - Carga Normal	272	START	1759980389985	1759980389985
REQUEST	269		Login Request	1759980389655	1759980389990	OK	 
USER	Login Test - Carga Normal	269	END	1759980389654	1759980389991
REQUEST	266		Login Request	1759980389365	1759980389995	OK	 
USER	Login Test - Carga Pico	266	END	1759980389364	1759980389996
USER	Login Test - Carga Pico	286	START	1759980390017	1759980390017
REQUEST	280		Login Request	1759980389680	1759980390023	OK	 
USER	Login Test - Carga Pico	280	END	1759980389679	1759980390023
REQUEST	281		Login Request	1759980389726	1759980390064	OK	 
USER	Login Test - Carga Pico	281	END	1759980389725	1759980390065
REQUEST	270		Login Request	1759980389772	1759980390067	OK	 
USER	Login Test - Carga Normal	270	END	1759980389772	1759980390067
USER	Login Test - Carga Pico	287	START	1759980390078	1759980390078
USER	Login Test - Carga Normal	273	START	1759980390094	1759980390094
USER	Login Test - Carga Pico	288	START	1759980390139	1759980390139
REQUEST	282		Login Request	1759980389788	1759980390156	OK	 
USER	Login Test - Carga Pico	282	END	1759980389787	1759980390157
REQUEST	283		Login Request	1759980389835	1759980390176	OK	 
USER	Login Test - Carga Pico	283	END	1759980389834	1759980390177
REQUEST	284		Login Request	1759980389895	1759980390199	OK	 
USER	Login Test - Carga Pico	284	END	1759980389894	1759980390200
USER	Login Test - Carga Pico	289	START	1759980390201	1759980390201
USER	Login Test - Carga Normal	274	START	1759980390204	1759980390204
REQUEST	271		Login Request	1759980389880	1759980390261	OK	 
USER	Login Test - Carga Normal	271	END	1759980389879	1759980390262
USER	Login Test - Carga Pico	290	START	1759980390262	1759980390262
USER	Login Test - Carga Normal	275	START	1759980390324	1759980390324
USER	Login Test - Carga Pico	291	START	1759980390324	1759980390324
REQUEST	272		Login Request	1759980389986	1759980390327	OK	 
USER	Login Test - Carga Normal	272	END	1759980389985	1759980390328
REQUEST	285		Login Request	1759980389956	1759980390332	OK	 
USER	Login Test - Carga Pico	285	END	1759980389955	1759980390333
USER	Login Test - Carga Pico	292	START	1759980390371	1759980390371
REQUEST	287		Login Request	1759980390079	1759980390373	OK	 
USER	Login Test - Carga Pico	287	END	1759980390078	1759980390374
REQUEST	273		Login Request	1759980390095	1759980390428	OK	 
USER	Login Test - Carga Normal	273	END	1759980390094	1759980390429
USER	Login Test - Carga Normal	276	START	1759980390432	1759980390432
USER	Login Test - Carga Pico	293	START	1759980390432	1759980390432
REQUEST	288		Login Request	1759980390140	1759980390471	OK	 
USER	Login Test - Carga Pico	288	END	1759980390139	1759980390472
REQUEST	274		Login Request	1759980390205	1759980390492	OK	 
USER	Login Test - Carga Normal	274	END	1759980390204	1759980390493
USER	Login Test - Carga Pico	304	START	1759980390495	1759980390495
REQUEST	286		Login Request	1759980390018	1759980390521	OK	 
USER	Login Test - Carga Pico	286	END	1759980390017	1759980390522
REQUEST	289		Login Request	1759980390202	1759980390537	OK	 
USER	Login Test - Carga Pico	289	END	1759980390201	1759980390538
USER	Login Test - Carga Normal	294	START	1759980390541	1759980390541
USER	Login Test - Carga Pico	305	START	1759980390544	1759980390544
REQUEST	290		Login Request	1759980390264	1759980390600	OK	 
USER	Login Test - Carga Pico	290	END	1759980390262	1759980390601
USER	Login Test - Carga Pico	306	START	1759980390604	1759980390604
USER	Login Test - Carga Normal	295	START	1759980390634	1759980390634
USER	Login Test - Carga Pico	307	START	1759980390664	1759980390664
REQUEST	292		Login Request	1759980390372	1759980390708	OK	 
USER	Login Test - Carga Pico	292	END	1759980390371	1759980390709
REQUEST	291		Login Request	1759980390325	1759980390718	OK	 
USER	Login Test - Carga Pico	291	END	1759980390324	1759980390719
REQUEST	275		Login Request	1759980390325	1759980390720	OK	 
USER	Login Test - Carga Normal	275	END	1759980390324	1759980390721
USER	Login Test - Carga Pico	308	START	1759980390724	1759980390724
USER	Login Test - Carga Normal	296	START	1759980390739	1759980390739
REQUEST	293		Login Request	1759980390433	1759980390768	OK	 
USER	Login Test - Carga Pico	293	END	1759980390432	1759980390768
USER	Login Test - Carga Pico	309	START	1759980390786	1759980390786
REQUEST	304		Login Request	1759980390495	1759980390795	OK	 
USER	Login Test - Carga Pico	304	END	1759980390495	1759980390796
REQUEST	276		Login Request	1759980390433	1759980390823	OK	 
USER	Login Test - Carga Normal	276	END	1759980390432	1759980390824
USER	Login Test - Carga Normal	297	START	1759980390834	1759980390834
USER	Login Test - Carga Pico	310	START	1759980390848	1759980390848
REQUEST	306		Login Request	1759980390605	1759980390898	OK	 
USER	Login Test - Carga Pico	306	END	1759980390604	1759980390899
REQUEST	305		Login Request	1759980390545	1759980390905	OK	 
REQUEST	294		Login Request	1759980390542	1759980390905	OK	 
